orbit_index,satellite_count,mean_raan_deg
1,88,9.182026915228695
2,67,20.965092809727334
3,58,34.389678825610694
4,64,47.600885901300934
5,115,61.131183324587916
6,86,74.71588714976566
7,77,88.2867096352559
8,78,99.41897878671256
9,94,112.26576362285888
10,113,125.19864911320778
11,89,139.77042226551575
12,74,153.31362136830768
13,82,164.84891909433208
14,118,177.38162887076535
15,71,190.3292810839544
16,106,202.89304869209204
17,69,216.0044180029164
18,64,228.76906413253644
19,71,242.3964731867855
20,116,254.58846169916967
21,105,267.13787918290217
22,104,280.0568338065907
23,74,293.1830329737573
24,49,305.95816748221614
25,78,318.5573681257548
26,88,330.1706588072977
27,120,343.58813453816964
28,80,356.86525622435886
