 城市,用户数量
"Dublin","24,790",
"Budapest","4,637",
"Albuquerque","47,597",
"Nashville","34,057",
"Louisville","42,917",
"Kralendijk","257",
"San Jose","32,280",
"Ljubljana","874",
"Tarawa","3,007",
"Saint Peter Port","444",
"Quito","15,389",
"Bandar Seri Begawan","14",
"Port of Spain","1,257",
"Palikir","1,107",
"Nassau","13,969",
"Ashburn","70,910",
"Longyearben","19",
"Chicago","80,023",
"Regina","43,320",
"Oslo","11,247",
"Sao Paulo","344,126",
"Saipan","720",
"Tegucigalpa","15,594",
"Andorra la Vella","17",
"Baku","79",
"Mexico City","279,959",
"Calgary","100,990",
"Portland","74,775",
"Vancouver","51,141",
"Salt Lake City","18,503",
"Melbourne","100,292",
"Kyiv","55,773",
"Philadelphia","62,473",
"Asuncion","12,426",
"Winnipeg","36,133",
"Jackson","32,219",
"Cheyenne","19,939",
"Lusaka","22,150",
"Ouagadougou","10,904",
"Manila","105,005",
"Charleston","63,131",
"Valletta","172",
"Manama","73",
"Madrid","62,564",
"Nairobi","20,199",
"San Salvador","11,888",
"Des Moines","6,465",
"Port-au-Prince","17,159",
"Caracas","34,416",
"Toronto","127,020",
"Lima","42,907",
"Thimphu","590",
"Damascus","8,293",
"Detroit","61,460",
"Paris","113,649",
"Brasilia","173,306",
"Providence","923",
"Dallas","224,962",
"Seoul","544",
"Aden","3,869",
"Brisbane","89,357",
"Suva","2,461",
"Bucharest","2,768",
"Fargo","2,499",
"Sioux Falls","6,647",
"Bogota","102,781",
"Columbus","32,832",
"Jerusalem","1,118",
"Brussels","11,747",
"Christchurch","8,941",
"Phoenix","101,898",
"San Jose","131,161",
"Sofia","9,917",
"Auckland","78,492",
"Prague","7,296",
"Podgorica","72",
"Boise","50,078",
"Fredericton","19,530",
"Colombus","16,804",
"Burlington","12,992",
"Montreal","23,793",
"Ulaanbaatar","6,429",
"Baghdad","5,274",
"Anchorage","43,467",
"Malé","650",
"Zagreb","9,788",
"Majuro","868",
"Nuku'alofa","1,725",
"Kansas City","62,442",
"Avarua District","2,650",
"Panama City","13,462",
"Philipsburg","2,256",
"Sao Tome","121",
"Halifax","11,869",
"New Orleans","62,794",
"Riga","2,136",
"Khartoum","5,422",
"Colombo","4,781",
"Santiago","116,625",
"Buenos Aires","398,002",
"Muscat","965",
"Surabaya","74,613",
"Belgrade","180",
"Montevideo","7,267",
"Yerevan","194",
"Castries","89",
"Alofi","107",
"Luxembourg","224",
"Santo Domingo","20,982",
"Little Rock","20,318",
"El Paso","6,694",
"Roseau","81",
"Washington D.C.","165",
"Dushanbe","688",
"Mbabane","1,674",
"Bratislava","2,921",
"Yangon","13,317",
"Las Vegas","28,091",
"Saint Denis","487",
"Charlotte","80,807",
"Athens","50,026",
"Antananarivo","11,921",
"Hagatna","4,631",
"Billings","41,846",
"Zurich","2,934",
"Fortaleza","122,328",
"Rome","2",
"Vienna","10,490",
"Skopje","216",
"Bridgeport","2,612",
"George Town","188",
"Jakarta","33,667",
"London","127,640",
"Tbilisi","594",
"Warsaw","22,100",
"Dhaka","2,637",
"Lisbon","14,771",
"Dakar","1,673",
"Apia","1,397",
"Oklahoma City","38,029",
"Saint John's","18,258",
"Georgetown","5,549",
"Niamey","13,606",
"Omaha","4,516",
"Minnesota","127",
"Tokyo","10,265",
"Fort-de-France","6,371",
"Chisinau","61",
"Bamako","9,264",
"Perth","50,495",
"Marigot","1,188",
"Manchester","5,949",
"Kinshasa","16,886",
"Minneapolis","27,455",
"Seattle","98,636",
"Adamstown","35",
"Basse-Terre","1,792",
"Sarajevo","249",
"Atlanta","55,303",
"Mariehamn","12",
"Bissau","822",
"Funafuti","717",
"Dubai","60",
"Harare","69,958",
"New York","23,553",
"Yaren","796",
"Lagos","62,943",
"Kuala Lumpur","13,529",
"Tripoli","1,782",
"Tirana","250",
"Cayenne","3,487",
"Gustavia","1,009",
"Maputo","16,322",
"Honiara","1,872",
"Gaborone","16,010",
"Indianapolis","37,112",
"Los Angeles","76,171",
"Brades","1",
"Sydney","127,812",
"Topeka","2,345",
"Managua","3,243",
"Berlin","99,794",
"Guatemala City","19,712",
"Milwaukee","52,612",
"Almaty","3,268",
"Stanley","1,179",
"Newark","5,502",
"Milan","102,821",
"Honolulu","7,118",
"Juba","7,526",
"Kingston","35,875",
"Port-Vila","2,279",
"Huntsville","50,463",
"New York City","1,480",
"Pago Pago","450",
"Helsinki","1,027",
"Johannesburg","287",
"Vilnius","1,543",
"Kingstown","322",
"Miami","120,425",
"Mumbai","5",
"Ramallah","1",
"Kukes","853",
"Baltimore","11,573",
"Denver","77,127",
"Amman","964",
"Wilmington","3,053",
"Vaduz","5",
"Charlotte Amalie","4,993",
"Reykjavik","223",
"Singapore","61",
"Iqaluit","3,611",
"Beirut","10",
"Amsterdam","8,516",
"Bridgetown","978",
"Praia","2,396",
"Copenhagen","587",
"San Juan","12,443",
"Doha","913",
"Stockholm","5,212",
"Paramaribo","1,297",
"Maseru","110",
"Lilongwe","3,429",
"Saint George's","142",
"Boston","5,602",
"Saint John's","638",
"Nicosia","1,388",
"N'Djamena","8,507",
"Tallinn","1,676",
